query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_32545_relational_after,32545,relational_after,106,106,0,1,1,0.7386049555267,1
tokyo_32545_semantic,32545,semantic,106,106,0,1,1,0.738478856065563,1
tokyo_32545_temporal_spatial,32545,temporal_spatial,106,106,0,1,1,0.738536700698258,1
tokyo_325605_relational_after,325605,relational_after,82,82,0,1,1,0.739639880594839,2
tokyo_325605_semantic,325605,semantic,82,82,0,1,1,0.739639512626086,2
tokyo_325605_temporal_spatial,325605,temporal_spatial,82,82,0,1,1,0.739668562161273,2
tokyo_328941_relational_after,328941,relational_after,23,23,0,1,1,0.727885943884797,1
tokyo_328941_semantic,328941,semantic,23,23,0,1,1,0.728136354570854,1
tokyo_328941_temporal_spatial,328941,temporal_spatial,23,23,0,1,1,0.728187064984654,1
tokyo_339444_relational_after,339444,relational_after,31,31,0,1,1,0.741704055336024,1
tokyo_339444_semantic,339444,semantic,31,31,0,1,1,0.741488734044041,1
tokyo_339444_temporal_spatial,339444,temporal_spatial,31,31,0,1,1,0.741602779699266,1
tokyo_342180_relational_after,342180,relational_after,49,49,0,1,1,0.736695669688295,2
tokyo_342180_semantic,342180,semantic,49,49,0,1,1,0.736655792727823,2
tokyo_342180_temporal_spatial,342180,temporal_spatial,49,49,0,1,1,0.736285114069014,2
tokyo_34258_relational_after,34258,relational_after,42,42,0,1,1,0.760619626108989,1
tokyo_34258_semantic,34258,semantic,42,42,0,1,1,0.760487312526836,1
tokyo_34258_temporal_spatial,34258,temporal_spatial,42,42,0,1,1,0.760470289145228,1
tokyo_347501_relational_after,347501,relational_after,20,20,0,1,1,0.734703121730229,1
tokyo_347501_temporal_spatial,347501,temporal_spatial,20,20,0,1,1,0.734918181019129,1
tokyo_348059_relational_after,348059,relational_after,63,63,0,1,1,0.752601899900575,1
tokyo_348059_semantic,348059,semantic,63,63,0,1,1,0.75230550467229,1
tokyo_348059_temporal_spatial,348059,temporal_spatial,63,63,0,1,1,0.752118784823268,1
tokyo_348682_relational_after,348682,relational_after,22,22,0,1,1,0.729072902737195,2
tokyo_348682_semantic,348682,semantic,22,22,0,1,1,0.728696015902028,2
tokyo_348682_temporal_spatial,348682,temporal_spatial,22,22,0,1,1,0.728540387250655,2
tokyo_350248_relational_after,350248,relational_after,54,54,0,1,1,0.732920189961591,2
tokyo_350248_semantic,350248,semantic,54,54,0,1,1,0.733000710874751,2
tokyo_350248_temporal_spatial,350248,temporal_spatial,54,54,0,1,1,0.732879539628505,2
tokyo_356419_relational_after,356419,relational_after,33,33,0,1,1,0.740122923214331,1
