query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_140775_relational_after,140775,1,19,0.83174724989298,0.831747249872283
tokyo_140775_relational_after,140775,2,4,0.16825275010702,0.168252750127717
tokyo_140775_semantic,140775,1,19,0.830088695825447,0.83008869581587
tokyo_140775_semantic,140775,2,4,0.169911304174554,0.16991130418413
tokyo_140775_temporal_spatial,140775,1,19,0.822942458374373,0.822942458361876
tokyo_140775_temporal_spatial,140775,2,4,0.177057541625627,0.177057541638124
tokyo_149225_relational_after,149225,1,33,1,1
tokyo_149225_semantic,149225,1,33,1,1
tokyo_149225_temporal_spatial,149225,1,33,1,1
tokyo_152722_relational_after,152722,1,33,1,1
tokyo_152722_semantic,152722,1,33,1,1
tokyo_152722_temporal_spatial,152722,1,33,1,1
tokyo_156873_relational_after,156873,1,112,0.965393846138102,0.965393846107229
tokyo_156873_relational_after,156873,2,2,0.0170322833029286,0.0170322833225362
tokyo_156873_relational_after,156873,3,2,0.0175738705589692,0.0175738705702348
tokyo_156873_semantic,156873,1,112,0.966871471347688,0.966871471314062
tokyo_156873_semantic,156873,2,2,0.0172795325540435,0.0172795325731906
tokyo_156873_semantic,156873,3,2,0.0158489960982687,0.0158489961127471
tokyo_156873_temporal_spatial,156873,1,112,0.966411387190362,0.966411387157594
tokyo_156873_temporal_spatial,156873,2,2,0.0174769732504129,0.0174769732691923
tokyo_156873_temporal_spatial,156873,3,2,0.0161116395592247,0.0161116395732139
tokyo_167728_relational_after,167728,1,2,0.0344665757257904,0.0344665757365808
tokyo_167728_relational_after,167728,2,6,0.10065585625621,0.100655856272755
tokyo_167728_relational_after,167728,3,47,0.796598914657953,0.796598914614555
tokyo_167728_relational_after,167728,4,2,0.0346713525882338,0.0346713525927063
tokyo_167728_relational_after,167728,5,2,0.0336073007718127,0.0336073007834033
tokyo_167728_semantic,167728,1,2,0.0343063193673243,0.0343063193782639
tokyo_167728_semantic,167728,2,6,0.105177865371946,0.10517786538428
tokyo_167728_semantic,167728,3,47,0.792356026110489,0.792356026071042
tokyo_167728_semantic,167728,4,2,0.0341432345557311,0.0341432345606955
tokyo_167728_semantic,167728,5,2,0.03401655459451,0.0340165546057194
tokyo_167728_temporal_spatial,167728,1,2,0.0346532573733887,0.0346532573840052
tokyo_167728_temporal_spatial,167728,2,6,0.104658507670737,0.104658507683554
tokyo_167728_temporal_spatial,167728,3,47,0.793302805480864,0.793302805440535
